entname,enttypename,entid,enttypeid,byif_out_util_max,byif_in_util_pct10,byif_name,byif_out_util_pct10,byif_latency_c_avg,description,byif_com_speed_c,byif_out_bit_rate,byif_latency_c_max,byif_out_util_count,byif_out_util_avg,byif_bandwidth,byif_in_bit_rate,byif_errors_c,byif_in_util_count,byif_in_error_c,byif_in_util_avg,byif_in_util_max,byif_desc,location_site,byif_out_error_c
BN001,Network - Device,68736,sys:net:dev,8.598,1.025,CPE2,0.657,17.51,Branch,DNI-2,147392.111,38,72,1.799,8192000,250812.451,0,72,0,3.061,20.363,Ethernet0/2/0_100,BENEVENTO MELLUSI,0
AG048,Network - Device,52920,sys:net:dev,0.959,0.103,CPE1,0.121,35.437,Branch,DNI-3,304945.812,37,24,0.304,100000000,337583.645,0,24,0,0.337,1.753,Ethernet0/2/0_100,RIBERA,0
AG048,Network - Device,52920,sys:net:dev,0,0,LTE,0,33.75,Branch,DNI-3,0,35,24,0,100000000,0,0,24,0,0,0,LTE,RIBERA,0
AN014,Network - Device,30009,sys:net:dev,0.603,0.265,CPE2,0.269,22.013,Branch,DNI-3 (8+8),23389.02,26,72,0.285,8192000,25779.34,0,72,0,0.314,2.825,Ethernet0/2/0_100,ANCONA TORRETTE OSPEDALE,0
BN001,Network - Device,68736,sys:net:dev,13.829,1.261,CPE1,1.316,31.836,Branch,DNI-2,232739.18,46,72,2.841,8192000,344636.947,0,72,0,4.207,38.54,GigabitEthernet0/0/0_100,BENEVENTO MELLUSI,0
AN014,Network - Device,30009,sys:net:dev,0.744,0.448,CPE1,0.515,18.684,Branch,DNI-3 (8+8),43591.458,22,72,0.532,8192000,39399.618,0,72,0,0.48,1.887,Ethernet0/2/0_100,ANCONA TORRETTE OSPEDALE,0
AN014,Network - Device,30009,sys:net:dev,0,0,LTE,0,19.343,Branch,DNI-3 (8+8),0,23,72,0,8192000,0,0,72,0,0,0,LTE,ANCONA TORRETTE OSPEDALE,0
BN001,Network - Device,68736,sys:net:dev,0,0,LTE,0,27.69,Branch,DNI-2,0,45,72,0,8192000,0,0,72,0,0,0,LTE,BENEVENTO MELLUSI,0
AG037,Network - Device,66616,sys:net:dev,0.932,0.069,CPE2,0.05,36.989,Branch,DNI-3,147642.895,37,24,0.147,100000000,255003.541,0,24,0,0.255,2.031,Ethernet0/2/0_90,CASTELTERMINI,0
AG037,Network - Device,66616,sys:net:dev,2.861,0.089,CPE1,0.081,41.229,Branch,DNI-3,223460.593,44,24,0.223,100000000,300195.697,0,24,0,0.3,3.102,Ethernet0/2/0_90,CASTELTERMINI,0
BI002,Network - Device,23170,sys:net:dev,0.066,0.021,CPE2,0.022,13.031,Branch,DNI-3,42520.098,14,48,0.042,100000000,175466.364,0,48,0,0.175,0.334,Ethernet0/2/0_100,BIELLA VIA TORINO,0
AG037,Network - Device,66616,sys:net:dev,0.005,0,LTE,0,47.437,Branch,DNI-3,1468.145,70,24,0.001,100000000,1751.604,0,24,0,0.001,0.005,LTE,CASTELTERMINI,0
BI002,Network - Device,23170,sys:net:dev,0.09,0.035,CPE1,0.044,13.005,Branch,DNI-3,65525.718,14,48,0.065,100000000,189977.302,0,48,0,0.189,0.347,Ethernet0/2/0_100,BIELLA VIA TORINO,0
AL039,Network - Device,38716,sys:net:dev,3.296,0.371,CPE1,0.307,12.138,ATM,A1,10827.942,25,51,0.528,2048000,13707.996,0.343,51,0.343,0.669,12.98,Serial0/0/0_100,CENTRO COMM. MC ARTHUR GLEN SERRAVALLE - ATM 2,0
BI002,Network - Device,23170,sys:net:dev,0,0,LTE,0,10.994,Branch,DNI-3,0,11,48,0,100000000,0,0,48,0,0,0,LTE,BIELLA VIA TORINO,0
AL039,Network - Device,38716,sys:net:dev,0.459,0,LTE,0,29.509,ATM,A1,1492.194,117,54,0.072,2048000,1406.537,0,54,0,0.068,1.405,LTE,CENTRO COMM. MC ARTHUR GLEN SERRAVALLE - ATM 2,0
BG066,Network - Device,35075,sys:net:dev,1.608,0.131,CPE2,0.115,20.427,Branch,DNI-3,396377.104,22,24,0.396,100000000,724441.333,0,24,0,0.724,5.548,Ethernet0/2/0_90,CIVIDATE AL PIANO,0
AG034,Network - Device,32703,sys:net:dev,1.389,0.156,CPE2,0.132,36.621,Branch,DNI-3,253462.805,43,72,0.253,100000000,379787.75,0,72,0,0.379,3.087,Ethernet0/2/0_90,SAN GIOVANNI GEMINI,0
